dataset,additional_info,embedding_model,embedding_max_length,dr_method,dr_parameter,mn_ratio,fp_ratio,dimension_size,trustworthiness_ten_neigh,trustworthiness_fifty_neigh,trustworthiness_hundred_neigh,continuity_ten_neigh,continuity_fifty_neigh,continuity_hundred_neigh,pearson_corr,spearman_corr,ALS,AGS,Q,B,Q-B,NUM,Ss
20NG,body_only,intfloat/e5-small-v2,256,UMAP,30,N/A,N/A,5,0.9291,0.9044,0.8894,0.9573,0.9291,0.9134,0.2661,0.3859,0.9205,0.3260,1.5536,0.3534,1.2003,1.09556688522427,0.5478
20NG,body_only,intfloat/e5-small-v2,256,UMAP,30,N/A,N/A,10,0.9353,0.908,0.8924,0.9575,0.9293,0.9135,0.2807,0.3858,0.922666666666667,0.3333,1.57732667361111,0.347412006944445,1.22991466666667,1.10901517873592,0.5545
20NG,body_only,intfloat/e5-small-v2,256,UMAP,30,N/A,N/A,50,0.9353,0.908,0.8927,0.9574,0.9292,0.9135,0.2808,0.3863,0.922683333333333,0.3336,1.57812218777778,0.347078084444444,1.23104410333334,1.1095242689249,0.5548
20NG,body_only,intfloat/e5-small-v2,512,PaCMAP,30,2,0.5,5,0.882,0.8654,0.8563,0.9439,0.918,0.9017,0.258,0.309,0.89455,0.284,1.3878018025,0.3733821025,1.0144197,1.00718404475051,0.5036
20NG,body_only,intfloat/e5-small-v2,512,PaCMAP,30,2,0.5,10,0.8832,0.866,0.8566,0.9439,0.918,0.9018,0.2579,0.309,0.894916666666667,0.28345,1.38854800111111,0.373891484444445,1.01465651666667,1.00730160164008,0.5037
20NG,body_only,intfloat/e5-small-v2,512,PaCMAP,30,2,0.5,50,0.8851,0.867,0.8573,0.9439,0.918,0.9018,0.2586,0.3091,0.895516666666667,0.2839,1.39090573444445,0.374136111111112,1.01676962333334,1.00834995082726,0.5042
20NG,body_only,intfloat/e5-small-v2,512,PCA,N/A,N/A,N/A,5,0.8499,0.8415,0.8372,0.925,0.906,0.8968,0.5363,0.521,0.876066666666667,0.52865,1.97322891361111,0.120698340277778,1.85253057333333,1.36107699022992,0.6805
20NG,body_only,intfloat/e5-small-v2,512,PCA,N/A,N/A,N/A,10,0.9224,0.9102,0.9031,0.9621,0.9472,0.9389,0.5993,0.585,0.9307,0.59215,2.31891984,0.11458225,2.20433759,1.48470117868883,0.7424
20NG,body_only,intfloat/e5-small-v2,512,PCA,N/A,N/A,N/A,50,0.9899,0.9818,0.9766,0.9948,0.9892,0.985,0.7654,0.7605,0.9862,0.7630,3.0596,0.0498,3.0097,1.73485907881111,0.8674
20NG,body_only,intfloat/e5-small-v2,512,UMAP,30,N/A,N/A,5,0.9189,0.8934,0.878,0.9599,0.9299,0.9125,0.2521,0.3525,0.915433333333333,0.3023,1.48287447111111,0.375932484444444,1.10694198666667,1.05211310545334,0.5261
20NG,body_only,intfloat/e5-small-v2,512,UMAP,30,N/A,N/A,10,0.9272,0.8981,0.8814,0.9609,0.9309,0.9135,0.2542,0.3526,0.9187,0.3034,1.4934,0.3786,1.1149,1.05588534731128,0.5279
20NG,body_only,intfloat/e5-small-v2,512,UMAP,30,N/A,N/A,50,0.9265,0.8977,0.8823,0.9609,0.9309,0.9134,0.2522,0.3526,0.9186,0.3024,1.4909,0.3797,1.1112,1.05411513602642,0.5271
20NG,body_only,qwen3-embedding:8b,1024,PaCMAP,30,2,0.5,5,0.9608,0.9481,0.9411,0.9684,0.9451,0.9272,0.5348,0.5327,0.9485,0.5338,2.1969,0.1720,2.0249,1.42300412859556,0.7115
20NG,body_only,qwen3-embedding:8b,1024,PaCMAP,30,2,0.5,10,0.9614,0.9485,0.9414,0.9684,0.9449,0.9269,0.5335,0.532,0.9486,0.53275,2.19434844444444,0.172917361111111,2.02143108333333,1.4217704045778,0.7109
20NG,body_only,qwen3-embedding:8b,1024,PaCMAP,30,2,0.5,50,0.9613,0.9485,0.9414,0.9682,0.9447,0.9268,0.5285,0.5292,0.9485,0.5289,2.1825,0.1761,2.0064,1.41648213660933,0.7082
