dataset,additional_info,embedding_model,embedding_max_length,dr_method,dr_parameter,mn_ratio,fp_ratio,dimension_size,trustworthiness_ten_neigh,trustworthiness_fifty_neigh,trustworthiness_hundred_neigh,continuity_ten_neigh,continuity_fifty_neigh,continuity_hundred_neigh,pearson_corr,spearman_corr,ALS,AGS,Q,B,Q-B,NUM,Ss
SV,cah_age_comment,google-bert/bert-base-uncased,128,UMAP,30,N/A,N/A,10,0.9631,0.9475,0.9384,0.9662,0.9462,0.9357,0.6431,0.6192,0.9495,0.6312,2.4985,0.1014,2.3971,1.54827315957704,0.7741
SV,cah_age_comment,google-bert/bert-base-uncased,128,UMAP,30,N/A,N/A,50,0.9634,0.9479,0.9388,0.9662,0.9462,0.9356,0.6439,0.62,0.9497,0.63195,2.50156400111111,0.100954471111111,2.40060953,1.54939005095554,0.7747
SV,cah_age_comment,google-bert/bert-base-uncased,256,PaCMAP,30,2,0.5,5,0.9321,0.9206,0.9139,0.9552,0.9396,0.9308,0.6184,0.6156,0.9320,0.6170,2.3995,0.0992,2.3003,1.5166602344186,0.7583
SV,cah_age_comment,google-bert/bert-base-uncased,256,PaCMAP,30,2,0.5,10,0.9343,0.922,0.9151,0.9553,0.9397,0.9309,0.6185,0.6157,0.932883333333333,0.6171,2.40244833361111,0.0997191136111109,2.30272922,1.51747461922762,0.7587
SV,cah_age_comment,google-bert/bert-base-uncased,256,PaCMAP,30,2,0.5,50,0.9345,0.9221,0.9152,0.9553,0.9397,0.9309,0.6185,0.6157,0.9330,0.6171,2.4027,0.0998,2.3029,1.51752883992364,0.7588
SV,cah_age_comment,google-bert/bert-base-uncased,256,PCA,N/A,N/A,N/A,5,0.9219,0.9178,0.9155,0.9777,0.9683,0.9631,0.7849,0.7855,0.9441,0.7852,2.9903,0.0252,2.9651,1.72193851225879,0.861
SV,cah_age_comment,google-bert/bert-base-uncased,256,PCA,N/A,N/A,N/A,10,0.9796,0.9745,0.9716,0.9943,0.99,0.9872,0.8634,0.8671,0.982866666666667,0.8653,3.41553521361111,0.0138336802777779,3.40170153333333,1.84437022675311,0.9222
SV,cah_age_comment,google-bert/bert-base-uncased,256,PCA,N/A,N/A,N/A,50,0.9998,0.9994,0.9991,0.9999,0.9996,0.9994,0.971,0.9745,0.9995,0.97275,3.88990154694444,0.000717346944444427,3.8891842,1.97210146797775,0.9861
SV,cah_age_comment,google-bert/bert-base-uncased,256,UMAP,30,N/A,N/A,5,0.9517,0.9389,0.9311,0.9656,0.9455,0.935,0.6432,0.6185,0.9446,0.6309,2.4821,0.0985,2.3837,1.54391960714712,0.772
SV,cah_age_comment,google-bert/bert-base-uncased,256,UMAP,30,N/A,N/A,10,0.9622,0.9468,0.9376,0.9659,0.9459,0.9354,0.6423,0.6176,0.9490,0.6300,2.4930,0.1018,2.3912,1.54635254928062,0.7732
SV,cah_age_comment,google-bert/bert-base-uncased,256,UMAP,30,N/A,N/A,50,0.9626,0.947,0.9378,0.966,0.9461,0.9356,0.6433,0.6182,0.949183333333333,0.6308,2.49618933777778,0.101399787777778,2.39478955,1.54751075925177,0.7738
SV,cah_age_comment,google-bert/bert-base-uncased,512,PaCMAP,30,2,0.5,5,0.9334,0.9215,0.9148,0.9565,0.9408,0.9321,0.6214,0.6188,0.9332,0.6201,2.4127,0.0980,2.3147,1.52140327987027,0.7607
SV,cah_age_comment,google-bert/bert-base-uncased,512,PaCMAP,30,2,0.5,10,0.9356,0.9229,0.916,0.9566,0.9409,0.9322,0.6215,0.6189,0.934033333333333,0.6202,2.41564125444444,0.0984913611111109,2.31714989333333,1.52221874030421,0.7611
SV,cah_age_comment,google-bert/bert-base-uncased,512,PaCMAP,30,2,0.5,50,0.9357,0.923,0.9161,0.9566,0.9409,0.9322,0.6215,0.6189,0.934083333333333,0.6202,2.41579668027778,0.0985227469444442,2.31727393333334,1.52225948291786,0.7611
SV,cah_age_comment,google-bert/bert-base-uncased,512,PCA,N/A,N/A,N/A,5,0.9222,0.918,0.9157,0.9778,0.9684,0.9632,0.7852,0.7856,0.944216666666667,0.7854,2.99157381361111,0.0252227336111112,2.96635108,1.72230980952905,0.8612
SV,cah_age_comment,google-bert/bert-base-uncased,512,PCA,N/A,N/A,N/A,10,0.9796,0.9746,0.9716,0.9943,0.99,0.9872,0.8635,0.8671,0.982883333333333,0.8653,3.41578163361111,0.0138258402777777,3.40195579333333,1.84443915414235,0.9222
SV,cah_age_comment,google-bert/bert-base-uncased,512,PCA,N/A,N/A,N/A,50,0.9998,0.9994,0.9991,0.9999,0.9996,0.9994,0.971,0.9744,0.9995,0.9727,3.88970432111111,0.00072002777777776,3.88898429333333,1.97205078365982,0.986
SV,cah_age_comment,google-bert/bert-base-uncased,512,UMAP,30,N/A,N/A,5,0.9504,0.9378,0.9302,0.965,0.9449,0.9344,0.6407,0.6162,0.943783333333333,0.6285,2.47191765444444,0.0994351111111109,2.37248254333333,1.54028651339072,0.7701
